year,dateTime,bias,crime_Category,offense1,description,borough,precinct,month_bin,index_
2024,2024-05-01,Jewish,Felony,Grand Larceny,"Larceny,Grand From Residence, Unattended",Queens,111,65,1
2024,2024-04-09,Jewish,Felony,Felony Assault,"Assault 2,1,Unclassified",Queens,112,64,1
2024,2024-01-17,Jewish,Misdemeanor,Other,"Larceny,Petit From Building,Un",Staten,121,61,1
2019,2019-04-18,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Manhattan,5,4,1
2019,2019-09-26,Jewish,Felony,Criminal Mischief,"Mischief, Criminal 3 & 2, Of M",Manhattan,13,9,1
2019,2019-12-30,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Manhattan,20,12,1
2019,2019-10-17,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Manhattan,25,10,1
2019,2019-07-27,Jewish,Felony,Criminal Mischief,"Mischief, Criminal 3 & 2, Of M",Manhattan,33,7,1
2019,2019-03-31,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Brooklyn,61,3,1
2019,2019-12-29,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Brooklyn,63,12,1
2019,2019-06-24,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Brooklyn,66,6,1
2019,2019-09-14,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Brooklyn,66,9,1
2019,2019-09-26,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Brooklyn,66,9,1
2019,2019-03-19,Jewish,Misdemeanor,Criminal Mischief,"Mischief, Criminal 4, Of Motor",Brooklyn,71,3,1
2019,2019-04-12,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Brooklyn,71,4,1
2019,2019-05-09,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Brooklyn,75,5,1
2019,2019-02-16,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Brooklyn,90,2,1
2019,2019-05-08,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Brooklyn,90,5,1
2019,2019-10-02,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Brooklyn,90,10,1
2019,2019-07-09,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Queens,104,7,1
2019,2019-07-23,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Queens,104,7,1
2019,2019-08-07,Jewish,Felony,Criminal Mischief,"Mischief, Criminal 3 & 2, Of M",Queens,105,8,1
2019,2019-03-13,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Queens,108,3,1
2019,2019-05-26,Jewish,Felony,Criminal Mischief,Criminal Mis 2 & 3,Queens,110,5,1
2019,2019-05-23,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Staten,121,5,1
2019,2019-06-27,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Staten,121,6,1
2019,2019-10-11,Jewish,Misdemeanor,Criminal Mischief,"Criminal Mischief,Unclassified 4",Staten,121,10,1
2019,2019-06-10,Jewish,Felony,Criminal Mischief,"Mischief,Criminal,    Uncl 2Nd",Staten,122,6,1
