rDate,year,bias,offense_Category,crime_Category,offense,description,borough,precinct,borough_add,arrest_id,dateTime,month,dayYear,toDate,month_bin,offense1,index_
2023-10-25T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,19,Patrol Boro Man_N,M36686304,2023-10-25,10,298,256,58,Misc. Penal Law,1
2023-10-19T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,23,Patrol Boro Man_N,M35716898,2023-10-19,10,292,256,58,Misc. Penal Law,1
2023-03-15T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M35683056,2023-03-15,3,74,256,51,Misc. Penal Law,1
2023-10-26T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36696524,2023-10-26,10,299,256,58,Misc. Penal Law,1
2023-10-26T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36696520,2023-10-26,10,299,256,58,Misc. Penal Law,1
2023-10-27T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36696523,2023-10-27,10,300,256,58,Misc. Penal Law,1
2023-11-21T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,24,Patrol Boro Man_N,M36696516,2023-11-21,11,325,256,59,Misc. Penal Law,1
2023-02-19T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Manhattan,33,Patrol Boro Man_N,M35688888,2023-02-19,2,50,256,50,Misc. Penal Law,1
2023-10-16T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,66,Patrol Boro Bklyn_S,K35729096,2023-10-16,10,289,256,58,Misc. Penal Law,1
2023-01-30T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,68,Patrol Boro Bklyn_S,K35678515,2023-01-30,1,30,256,49,Misc. Penal Law,1
2023-08-07T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,70,Patrol Boro Bklyn_S,K35728378,2023-08-07,8,219,256,56,Misc. Penal Law,1
2023-11-22T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,77,Patrol Boro Bklyn_N,K35732025,2023-11-22,11,326,256,59,Misc. Penal Law,1
2023-11-22T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,77,Patrol Boro Bklyn_N,K35732017,2023-11-22,11,326,256,59,Misc. Penal Law,1
2023-10-23T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,79,Patrol Boro Bklyn_N,K35726268,2023-10-23,10,296,256,58,Misc. Penal Law,1
2023-09-07T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Brooklyn,90,Patrol Boro Bklyn_N,K35717810,2023-09-07,9,250,256,57,Misc. Penal Law,1
2023-03-24T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,107,Patrol Boro Queens_S,Q35683494,2023-03-24,3,83,256,51,Misc. Penal Law,1
2023-03-24T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,107,Patrol Boro Queens_S,Q35683501,2023-03-24,3,83,256,51,Misc. Penal Law,1
2023-03-24T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,107,Patrol Boro Queens_S,Q35683401,2023-03-24,3,83,256,51,Misc. Penal Law,1
2023-05-25T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,107,Patrol Boro Queens_S,Q35716117,2023-05-25,5,145,256,53,Misc. Penal Law,1
2023-06-07T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,107,Patrol Boro Queens_S,Q35716120,2023-06-07,6,158,256,54,Misc. Penal Law,1
2023-12-06T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,107,Patrol Boro Queens_S,Q35719527,2023-12-06,12,340,256,60,Misc. Penal Law,1
2023-03-21T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,112,Patrol Boro Queens_N,Q35683392,2023-03-21,3,80,256,51,Misc. Penal Law,1
2023-03-21T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,112,Patrol Boro Queens_N,Q35683394,2023-03-21,3,80,256,51,Misc. Penal Law,1
2023-03-22T00:00:00.000,2023,Jewish,Religion/Religious Practice,Felony,Miscellaneous Penal Law,Aggravated Harassment 1,Queens,112,Patrol Boro Queens_N,Q35683399,2023-03-22,3,81,256,51,Misc. Penal Law,1
